label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
4	984 m/(s^2)	2.0944	Bioinformatics	Fremont	1492	1487	656	1.7445 m	50	Computer Science	-499 m/(s^2)
8	1074 m/(s^2)	0.0798	Natural Language Processing	San Francisco	-725	843	-916	0.8563 m	-848	Applied Mathematics	1563 m/(s^2)
5	124 m/(s^2)	-0.5836	Statistics	Santa Ana	1763	1235	-376	-0.2075 m	-317	Computational Media	1813 m/(s^2)
5	264 m/(s^2)	0.6264	Technology and Information Management	Santa Ana	714	1098	454	0.7244 m	-1126	Computational Media	91 m/(s^2)
7	611 m/(s^2)	1.7266	Bioengineering	Santa Clarita	-48	1496	-705	-0.398 m	-234	Computer Engineering	-527 m/(s^2)
1	1332 m/(s^2)	-0.7043	Computer Game Design	Irvine	200	651	-149	0.4302 m	974	Biotechnology, Natural Language Processing	890 m/(s^2)
6	1009 m/(s^2)	-0.3859	Computer Science	Sacramento, Stockton	-350	1324	986	0.459 m	817	Bioinformatics	685 m/(s^2)
8	-286 m/(s^2)	0.7146	Natural Language Processing	San Diego, Oakland	-1140	-1457	-266	1.0176 m	826	Computer Game Design	-425 m/(s^2)
6	1408 m/(s^2)	-0.4397	Computer Science	Sacramento, Riverside	22	-1430	-520	0.0593 m	317	Statistics	-742 m/(s^2)
7	1096 m/(s^2)	0.3216	Bioengineering	Santa Clarita	-1813	1489	759	-0.4662 m	311	Human Computer Interaction	1751 m/(s^2)
1	895 m/(s^2)	0.8674	Computer Game Design	Irvine	233	668	-105	-0.8381 m	588	Natural Language Processing	999 m/(s^2)
5	-878 m/(s^2)	-0.4664	Technology and Information Management	Santa Ana	-1381	2526	194	0.6732 m	-11	Computational Media	459 m/(s^2)
6	-355 m/(s^2)	-0.1397	Computer Science	Stockton	-51	-320	791	-0.2223 m	825	Statistics	1206 m/(s^2)
2	-49 m/(s^2)	0.3962	Computer Engineering	Oakland	-1041	-1105	321	0.9338 m	n/a	Robotics Engineering	-274 m/(s^2)
3	-532 m/(s^2)	1.0117	Electrical Engineering	Bakersfield, Fresno	810	1283	157	1.0462 m	417	Applied Mathematics	1696 m/(s^2)
8	1265 m/(s^2)	0.2268	Natural Language Processing	Anaheim	654	-437	525	0.2662 m	198	Computer Game Design	580 m/(s^2)
4	701 m/(s^2)	1.8351	Biotechnology	Long Beach	1387	-952	1459	1.2284 m	256	Computer Science	2384 m/(s^2)
0	1478 m/(s^2)	0.1526	Applied Mathematics	Chula Vista	-694	1886	977	1.2465 m	-267	Data Science	600 m/(s^2)
0	1013 m/(s^2)	1.0052	Applied Mathematics	Chula Vista	-1760	-2402	907	0.3937 m	608	Data Science	1871 m/(s^2)
3	1227 m/(s^2)	1.2317	Electrical Engineering	Fresno	983	1849	-44	1.3065 m	1187	Applied Mathematics	2201 m/(s^2)
5	-1051 m/(s^2)	-0.211	Computational Media	Santa Ana	901	2238	-297	0.2998 m	520	Computational Media	-522 m/(s^2)
2	424 m/(s^2)	1.0453	Bioengineering	Irvine	913	-560	-733	0.5136 m	966	Robotics Engineering	2987 m/(s^2)
0	1128 m/(s^2)	0.3365	Applied Mathematics	Chula Vista	-201	1320	22	1.7326 m	474	bIOENGINEERING	426 m/(s^2)
0	140 m/(s^2)	1.0243	Biotechnology	Chula Vista	1290	300	2099	1.8989 m	373	Data Science	293 m/(s^2)
5	2636 m/(s^2)	-0.9163	Technology and Information Management	Santa Ana	665	2415	888	0.0282 m	-85	Computational Media	-75 m/(s^2)
3	1525 m/(s^2)	NULL	Electrical Engineering	Bakersfield, San Bernardino	-2031	417	-1292	-1.086 m	684	Bioengineering	770 m/(s^2)
7	3295 m/(s^2)	1.314	Bioengineering	Moreno Valley	25	650	-77	0.7053 m	664	Computer Engineering	2677 m/(s^2)
7	104 m/(s^2)	1.2053	Bioengineering	Santa Clarita, Moreno Valley	-425	535	-364	0.7398 m	363	Robotics Engineering	263 m/(s^2)
1	1890 m/(s^2)	-0.241	Robotics Engineering	Irvine	537	1318	421	-1.0361 m	599	Technology and Information Management, Biotechnology	1340 m/(s^2)
3	927 m/(s^2)	1.2088	Electrical Engineering	San Bernardino	-257	-279	395	1.0776 m	-618	Applied Mathematics	963 m/(s^2)
3	1729 m/(s^2)	1.3584	Electrical Engineering	Fresno, Bakersfield	414	954	348	0.4893 m	1099	Applied Mathematics	1286 m/(s^2)
8	380 m/(s^2)	1.3265	Natural Language Processing	Anaheim	422	1300	1799	0.3402 m	1387	bioengineering	1231 m/(s^2)
7	542 m/(s^2)	-0.3095	Electrical Engineering	Moreno Valley, Santa Clarita	-1316	1720	196	-0.1575 m	320	Applied Mathematics	1029 m/(s^2)
5	1044 m/(s^2)	0.1437	Computational Media	Santa Ana	1519	2232	164	-0.0524 m	557	computational media	131 m/(s^2)
4	631 m/(s^2)	0.7198	Human Computer Interaction	Long Beach	1706	306	228	0.0865 m	1372	Computer Science	1074 m/(s^2)
0	998 m/(s^2)	1.4328	Computer Science	Chula Vista	-602	-659	931	-0.9185 m	1422	Electrical Engineering	-646 m/(s^2)
7	198 m/(s^2)	1.4995	Bioengineering	Modesto, Moreno Valley	1186	1359	-39	1.9999 m	811	Human Computer Interaction	952 m/(s^2)
0	150 m/(s^2)	-0.1564	Applied Mathematics	Chula Vista	1486	-458	-1306	0.511 m	116	Computational Media	-542 m/(s^2)
4	1183 m/(s^2)	-0.0054	Human Computer Interaction	Long Beach	526	616	-256	0.4034 m	846	Computer Science	1668 m/(s^2)
1	-1405 m/(s^2)	-0.375	Electrical Engineering	Los Angeles	-48	1898	931	1.1311 m	297	Technology and Information Management	1681 m/(s^2)
7	1450 m/(s^2)	-1.0666	Bioengineering	Fremont	196	2209	368	-0.2252 m	1465	Human Computer Interaction	1188 m/(s^2)
2	-115 m/(s^2)	1.059	Computer Engineering	Oakland	-286	1098	456	2.5707 m	-253	Electrical Engineering	3553 m/(s^2)
3	1747 m/(s^2)	1.0593	Electrical Engineering	Bakersfield, San Bernardino	-582	-1170	1105	0.6208 m	94	Applied Mathematics	-207 m/(s^2)
6	1596 m/(s^2)	-0.6661	Computer Science	Riverside, Sacramento	73	333	-312	-0.3055 m	193	Bioinformatics	566 m/(s^2)
2	3047 m/(s^2)	1.1517	Computational Media	Oakland	212	-9	1039	1.1374 m	129	Computer Engineering	2264 m/(s^2)
6	466 m/(s^2)	0.2829	Data Science	Riverside, Stockton	1861	-188	-136	1.5311 m	457	Statistics	14 m/(s^2)
2	3020 m/(s^2)	1.9028	Computer Engineering	San Diego, Oakland	1370	394	1852	-0.6646 m	-392	Robotics Engineering	1648 m/(s^2)
7	1510 m/(s^2)	0.0486	Bioengineering	Santa Clarita, Moreno Valley	294	-97	130	0.1472 m	-320	Human Computer Interaction	-319 m/(s^2)
5	699 m/(s^2)	1.0354	Technology And Information Management	Santa Ana	-457	1196	1305	0.3346 m	223	Computational Media	1312 m/(s^2)
5	835 m/(s^2)	-0.6238	Data Science	Santa Ana		-290	929	-0.1823 m	703	Computer Science	109 m/(s^2)
4	2138 m/(s^2)	-0.1888	Biotechnology	Long Beach	1184	742	1438	0.0511 m	668	Computer Science	-216 m/(s^2)
8	-1524 m/(s^2)	-0.037	Games and Playable Media	San Francisco	1298	535	1804	-1.1468 m	-279	Computer Science	61 m/(s^2)
2	1189 m/(s^2)	1.5144	Computer Engineering	oAKLAND	1982	606	1421	1.7251 m	538	Electrical Engineering	1574 m/(s^2)
7	736 m/(s^2)	1.1315	Bioengineering	Modesto	-638	167	-225	-0.8578 m	650	Technology and Information Management, Natural Language Processing	1551 m/(s^2)
6	-614 m/(s^2)	0.0289	Computer Science	Sacramento	1776	1096	-368	1.0705 m	-544	Bioinformatics	-626 m/(s^2)
7	447 m/(s^2)	1.3497	Bioengineering	moreno valley, santa clarita	-1047	1219	490	1.1397 m	643	Computer Engineering	1346 m/(s^2)
6	-613 m/(s^2)	0.7313	Computer Science	Stockton	-1062	-418	-1161	1.5209 m	-1015	Statistics	-1139 m/(s^2)
6	-2416 m/(s^2)	-0.7376	Computer Science	Sacramento	1350	975	184	0.9644 m	-332	Bioinformatics	687 m/(s^2)
7	476 m/(s^2)	0.0496	Bioengineering	Modesto, Santa Clarita	1337	-32	-738	-0.2292 m	1410	Human Computer Interaction	2088 m/(s^2)
8	246 m/(s^2)	-0.0318	Games and Playable Media	Santa Ana	-1095	46	-31	1.0828 m	135	Bioinformatics	-271 m/(s^2)
6	1319 m/(s^2)	0.1072	Data Science	Sacramento	811	307	-558	-1.0632 m	N/A	bioinformatics	-463 m/(s^2)
2	1278 m/(s^2)	0.311	Computer Engineering	N/A	1307	34	54	1.0873 m	1728	Robotics Engineering	583 m/(s^2)
4	2172 m/(s^2)	1.0197	Computer Game Design	Fremont	-73	1301	743	2.0437 m	189	Computer Science	-899 m/(s^2)
0	-1400 m/(s^2)	0.4411	Applied Mathematics	Chula Vista	-124	-422	234	1.7392 m	1689	Data Science	2059 m/(s^2)
5	-71 m/(s^2)	-0.5665	Computational Media	sANTA aNA	-642	1122	126	0.7974 m	234	Computational Media	-445 m/(s^2)
6	824 m/(s^2)	0.1276	Data Science	Stockton	527	1764	-622	-0.784 m	427	bioengineering	155 m/(s^2)
1	773 m/(s^2)	0.3166	Computer Game Design	Irvine	-1857	1372	654	0.2083 m	-306	Technology and Information Management, Biotechnology	2549 m/(s^2)
5	278 m/(s^2)	?	Computational Media	Santa Ana	210	-682	-977	0.2777 m	670	Computational Media	834 m/(s^2)
5	-305 m/(s^2)	0.8043	Computational Media	Santa Ana	1821	1466	367	0.5784 m	-83	Computational Media	85 m/(s^2)
3	606 m/(s^2)	0.3975	Electrical Engineering	San Bernardino	44	561	-10	0.3349 m	377	Applied Mathematics	789 m/(s^2)
5	-238 m/(s^2)	0.271	Statistics	Santa Ana	-1338	1296	381	0.9819 m	459	Computational Media	1052 m/(s^2)
5	-498 m/(s^2)	-2.0501	technology and information management	IRVINE	1646	2262	-479	0.1921 m	302	Computational Media	2100 m/(s^2)
1	935 m/(s^2)	-0.3969	Robotics Engineering	Los Angeles	1127	596	-1093	0.0492 m	983	Biotechnology	475 m/(s^2)
3	923 m/(s^2)	-0.1088	Electrical Engineering	Bakersfield	734	1234	1958	1.1957 m	1353	Computer Game Design	N/A
7	1099 m/(s^2)	0.8544	Bioengineering	Moreno Valley, Santa Clarita	-1259	1061	-1163	-1.2056 m	593	Computer Engineering	400 m/(s^2)
7	1349 m/(s^2)	1.0159	Bioengineering	Santa Clarita, Modesto	1305	-1469	-1002	0.4842 m	-463	Computer Engineering	1786 m/(s^2)
1	1295 m/(s^2)	1.4412	Computer Game Design	Los Angeles	-1287	529	1238	0.6465 m	1219	Technology and Information Management, Biotechnology	510 m/(s^2)
8	252 m/(s^2)	-1.0092	Games and Playable Media	San Francisco	0	-412	331	2.0123 m	446	Computer Game Design	-953 m/(s^2)
4	1052 m/(s^2)	-0.7082	Bioinformatics	Long Beach	802	1948	1210	0.7611 m	518	Computer Science	1 m/(s^2)
1	394 m/(s^2)	1.0657	Robotics Engineering	Los Angeles	1340	1377	1095	0.4002 m	-259	Technology and Information Management	1102 m/(s^2)
3	1239 m/(s^2)	1.7733	Electrical Engineering	Fresno, Bakersfield	484	304	1287	0.4955 m	378	Applied Mathematics	467 m/(s^2)
2	80 m/(s^2)	1.1721	Computer Engineering	San Jose, Oakland	1105	1232	633	1.4843 m	266	Electrical Engineering	2007 m/(s^2)
7	1389 m/(s^2)	1.1367	Bioengineering	Moreno Valley	-113	2047	666	1.517 m	1627	Computer Engineering	1462 m/(s^2)
6	-316 m/(s^2)	-0.5722	Data Science	San Francisco	2891	-91	823	0.0597 m	1208	Bioinformatics	-555 m/(s^2)
0	747 m/(s^2)	1.7806	Data Science	Chula Vista	-185	-181	880	0.7615 m	876	Bioengineering	1821 m/(s^2)
7	883 m/(s^2)	0.8871	Bioengineering	Santa Ana	1510	934	1371	0.5709 m	519	Human Computer Interaction	1242 m/(s^2)
6	-1179 m/(s^2)	-0.0848	Computer Science	Stockton, Riverside	265	177	188	1.0732 m	574	Bioinformatics	-944 m/(s^2)
5	383 m/(s^2)	1.7392	Computer Engineering	Los Angeles	1451	-169	-516	0.1998 m	1078	Computational Media	692 m/(s^2)
5	514 m/(s^2)	0.1938	Technology and Information Management	Santa Ana	2202	816	-926	0.9941 m	-114	Computational Media	2925 m/(s^2)
2	-723 m/(s^2)	1.5536	Computer Engineering	San Jose, San Diego	448	721	1293	1.3966 m	-511	Electrical Engineering	2261 m/(s^2)
2	459 m/(s^2)	1.4085	Computer Engineering	NULL	375	391	130	1.5218 m	872	Robotics Engineering	2935 m/(s^2)
5	227 m/(s^2)	2.3561	Computational Media	Santa Ana	703	822	-468	0.1283 m	410	Games and Playable Media	791 m/(s^2)
0	-922 m/(s^2)	0.6905	Applied Mathematics	Chula Vista	1364	988	204	0.4298 m	-88	Bioengineering	1741 m/(s^2)
2	1490 m/(s^2)	1.3269	Computer Engineering	San Diego, Oakland	53	344	-113		192	Bioengineering	-668 m/(s^2)
7	n/a	-0.269	Bioengineering	Modesto	-514	1412	591	-0.0001 m	678	Computer Game Design	864 m/(s^2)
2	1695 m/(s^2)	1.9034	Robotics Engineering	San Jose, San Diego	-2897	19	1322	0.8093 m	417	Robotics Engineering	621 m/(s^2)
5	-483 m/(s^2)	1.1264	Computational Media	Santa Ana	1290	-29	363	0.4757 m	581	Computational Media	967 m/(s^2)
4	1875 m/(s^2)	1.3912	Biotechnology	Bakersfield, San Bernardino	601	497	17	0.1609 m	1217	Computer Science	43 m/(s^2)
1	1336 m/(s^2)	-0.3566	Computer Game Design	los angeles	105	1142	-45	0.6244 m	655	Technology and Information Management	653 m/(s^2)
1	1830 m/(s^2)	0.4389	Robotics Engineering	Irvine	280	2273	-562	0.0447 m	843	Computer Science	1053 m/(s^2)
6	-1091 m/(s^2)	1.4034	Data Science	Riverside, Sacramento	-288	946	-976	?	1599	Statistics	-366 m/(s^2)
1	None	-0.1053	Robotics Engineering	Irvine	2409	n/a	226	0.3166 m	-447	Computational Media	3005 m/(s^2)
2	157 m/(s^2)	0.9023	Computer Engineering	San Diego	1881	871	-498	0.3218 m	-603	Robotics Engineering	2423 m/(s^2)
3	1395 m/(s^2)	1.072	Electrical Engineering	Fresno	-133	1545	422	1.9945 m	None	Applied Mathematics	-1087 m/(s^2)
6	483 m/(s^2)	-0.3684	Data Science	Riverside	63	1075	-640	1.5193 m	-147	Technology and Information Management, Biotechnology	-1047 m/(s^2)
2	1198 m/(s^2)	-1.1305	Computer Engineering	Modesto	-1319	864	1951	1.2315 m	90	Robotics Engineering	483 m/(s^2)
8	-550 m/(s^2)	-0.2856	Natural Language Processing	Anaheim	844	1693	-692	-0.7593 m	-110	Games and Playable Media	8 m/(s^2)
0	-646 m/(s^2)	1.8531	Applied Mathematics	Chula Vista	-169	778	511	1.0779 m	748	Data Science	183 m/(s^2)
8	1545 m/(s^2)	1.4851	Data Science	ANAHEIM	-370	377	387	-0.0949 m	592	Computer Game Design	2156 m/(s^2)
8	30 m/(s^2)	-0.188	Human Computer Interaction	San Francisco	-585	1336	-495	-0.9639 m	244	Games and Playable Media	631 m/(s^2)
1	182 m/(s^2)	0.332	Computer Game Design	Los Angeles	258	269	1325	-0.1308 m	-741	Biotechnology, Natural Language Processing	2035 m/(s^2)
7	2669 m/(s^2)	1.6133	Bioengineering	Modesto, Santa Clarita	-735	761	3060	2.3413 m	1120	Human Computer Interaction	1867 m/(s^2)
3	-231 m/(s^2)	0.7779	Bioengineering	Bakersfield, San Bernardino	884	342	1049	1.4641 m	233	Robotics Engineering	842 m/(s^2)
3	487 m/(s^2)	1.1753	Electrical Engineering	San Bernardino, Bakersfield	2439	1895	-50	0.2949 m	-709	Applied Mathematics	-858 m/(s^2)
0	2157 m/(s^2)	0.5239	Applied Mathematics	Chula Vista	928	62	-172	0.9653 m	-26	Data Science	1900 m/(s^2)
2	689 m/(s^2)	0.3268	Computer Engineering	Oakland, San Jose	822	108	864	1.8571 m	-70	Robotics Engineering	948 m/(s^2)
7	-522 m/(s^2)	1.692	Bioengineering	Modesto, Santa Clarita	2267	None	1311	-0.335 m	180	Computer Engineering	1727 m/(s^2)
6	-172 m/(s^2)	0.0083	Data Science	Stockton	422	730	-78	0.9221 m	839	Bioinformatics	1512 m/(s^2)
7	2316 m/(s^2)	0.9675	Bioengineering	Moreno Valley, Santa Clarita	1768	1732	56	0.6264 m	259	Human Computer Interaction	1745 m/(s^2)
5	777 m/(s^2)	-0.267	Statistics	Santa Ana	1765	1298	-7	0.2019 m	1195	Computational Media	798 m/(s^2)
7	920 m/(s^2)	-0.1712	Games and Playable Media	Anaheim	-248	557	1589	0.8063 m	270	Computer Engineering	1782 m/(s^2)
0	-351 m/(s^2)	0.2139	Applied Mathematics	Chula Vista	-82	-166	810	0.917 m	790	Bioengineering	1591 m/(s^2)
0	452 m/(s^2)	1.337	Applied Mathematics	Chula Vista	-958	497	1475	1.7557 m	147	Data Science	967 m/(s^2)
7	1776 m/(s^2)	0.7935	Bioengineering	Moreno Valley, Modesto	562	1585	-105	2.0705 m	508	Human Computer Interaction	1524 m/(s^2)
4	1662 m/(s^2)	1.7007	Biotechnology	Long Beach	749	1721	217	-0.4059 m	324	Computer Science	1149 m/(s^2)
6	-186 m/(s^2)	0.6044	Applied Mathematics	Sacramento	163	1094	241	1.5757 m	-470	Bioinformatics	-121 m/(s^2)
5	2440 m/(s^2)	1.4622	Computational Media	Santa Ana	1887	1435	-427	1.9897 m	-534	Computational Media	1757 m/(s^2)
1	1767 m/(s^2)		Computer Game Design	Irvine	2219	1986	1047	0.1476 m	-261	Natural Language Processing, Biotechnology	1027 m/(s^2)
1	140 m/(s^2)	0.0436	Robotics Engineering	Irvine	751	1671	-476	-0.4337 m	-336	Natural Language Processing, Technology and Information Management	1236 m/(s^2)
3	562 m/(s^2)	2.3478	Electrical Engineering	San Bernardino, Fresno	-133	40	None	1.8564 m	-814	Applied Mathematics	2148 m/(s^2)
8	-525 m/(s^2)	0.5188	Games and Playable Media	Moreno Valley, Santa Clarita	1770	-175	551	-0.7712 m	1511	Computer Game Design	-600 m/(s^2)
3	995 m/(s^2)	-1.0274	Electrical Engineering	San Bernardino	1187	1073	633	-1.7303 m	464	Applied Mathematics	2661 m/(s^2)
4	1407 m/(s^2)	0.4829	Robotics Engineering	Long Beach	367	406	?	1.9268 m	182	Computer Science	1348 m/(s^2)
8	718 m/(s^2)	1.6604	Games and Playable Media	Moreno Valley, Santa Clarita	778	17	656	-0.5006 m	250	Computer Game Design	2093 m/(s^2)
7	-1338 m/(s^2)	0.5692	Bioengineering	Moreno Valley, Santa Clarita	1200	2295	-334	0.9957 m	-754	Computer Engineering	859 m/(s^2)
2	-124 m/(s^2)	0.0702	Computer Engineering	Santa Ana	849	85	-371	1.9323 m	1296	Robotics Engineering	833 m/(s^2)
6	483 m/(s^2)	-1.6703	Computer Science	Riverside	-203	676	647	0.7215 m	1157	Bioinformatics	75 m/(s^2)
8	981 m/(s^2)	0.0955		San Francisco	802	869	406	1.0922 m	615	Games and Playable Media	-564 m/(s^2)
8	798 m/(s^2)	1.8767	Natural Language Processing	Anaheim	-186	1812	15	0.4964 m	7	Games and Playable Media	1077 m/(s^2)
7	1554 m/(s^2)	0.1981	Bioengineering	Modesto, Santa Clarita	715	768	-586	-0.1301 m	1490	Human Computer Interaction	1115 m/(s^2)
4	1130 m/(s^2)	0.6196	Human Computer Interaction	Fremont	-267	-791	858	-1.6198 m	756	Computer Science	-736 m/(s^2)
4	-802 m/(s^2)	1.3218	Statistics	Fremont	760	-116	1417	-0.7362 m	294	Computer Science	979 m/(s^2)
8	890 m/(s^2)	0.2326	Games and Playable Media	Anaheim	408	1337	894	-0.3865 m	1261	Computer Game Design	-1430 m/(s^2)
5	-954 m/(s^2)	1.4836	Statistics	Santa Ana	1168	2090	203	1.5904 m	-695	Computational Media	1277 m/(s^2)
8	1228 m/(s^2)	0.576	Natural Language Processing	San Francisco	2263	n/a	2446	0.6563 m	453	Computer Game Design	588 m/(s^2)
4	834 m/(s^2)	-0.193	Biotechnology	Long Beach	415	1157	1411	1.1963 m	791	Data Science	415 m/(s^2)
6	17 m/(s^2)	-1.1916	Data Science	Santa Ana	-952	1480	-131	2.1225 m	-216	Electrical Engineering	569 m/(s^2)
1	1313 m/(s^2)	0.3355	Computer Game Design	Los Angeles	-632	905	839	-0.2035 m	-69	Statistics	-118 m/(s^2)
1	366 m/(s^2)	0.9144	Robotics Engineering	Los Angeles	-466	-272	327	0.285 m	1108	Biotechnology, Technology and Information Management	-952 m/(s^2)
6	1325 m/(s^2)	-0.1191	Data Science	San Jose	494	2591	-350	0.6366 m	-624	Bioinformatics	117 m/(s^2)
1	891 m/(s^2)	0.0822	Robotics Engineering	Los Angeles	-360	1126	323	1.4984 m	1144	Computer Science	235 m/(s^2)
0	?	-0.3008	Applied Mathematics	San Francisco	640	613	-1156	1.3379 m	1349	Data Science	1891 m/(s^2)
5	471 m/(s^2)	0.7147	Statistics	Santa Ana	-967	232	-1233	-0.1191 m	1170	Computational Media	1205 m/(s^2)
4	979 m/(s^2)	-0.0546	Human Computer Interaction	Long Beach	-730	105	-201	0.6785 m	2647	Biotechnology	2005 m/(s^2)
7	1856 m/(s^2)	0.9625	Bioengineering	MODESTO, MORENO VALLEY	3357	1296	845	0.4415 m	50	Human Computer Interaction	183 m/(s^2)
5	688 m/(s^2)	-1.1163	Computational Media	Santa Ana	-873	1930	734	0.2037 m	-288	Computational Media	100 m/(s^2)
6	-947 m/(s^2)	1.1017	Computer Science	Santa Ana	456	276	-879	0.916 m	450	Statistics	-81 m/(s^2)
4	1415 m/(s^2)	1.2219	Human Computer Interaction	Long Beach	2042	704	421	0.797 m	130	Computer Science	96 m/(s^2)
3	-747 m/(s^2)	2.2847	Electrical Engineering	San Bernardino, Bakersfield	194	1891	1785	0.396 m	753	Technology and Information Management	-241 m/(s^2)
1	349 m/(s^2)	-0.7274	Robotics Engineering	Irvine	-167	1933	128	0.2351 m	1086	Statistics	214 m/(s^2)
7	1324 m/(s^2)	1.5502	Applied Mathematics	Moreno Valley	-211	1415	1011	-0.9525 m	9	Human Computer Interaction	851 m/(s^2)
2	-532 m/(s^2)	-1.6728	computer engineering	San Jose, San Diego	-942	-141	806	-0.9156 m	6	Robotics Engineering	1635 m/(s^2)
7	32 m/(s^2)	0.2337	Bioengineering	Santa Clarita, Modesto	281	18	-295	-0.5122 m	1011	Human Computer Interaction	727 m/(s^2)
3	960 m/(s^2)	0.6616	Electrical Engineering	Fresno, San Bernardino	1498	2003	1086	1.1759 m	264	Applied Mathematics	-1246 m/(s^2)
0	2252 m/(s^2)	1.4822	Applied Mathematics	Chula Vista	322	981	1919	0.1062 m	1164	Data Science	1158 m/(s^2)
3	1040 m/(s^2)	0.6664	Electrical Engineering	Fresno	142	742	1116	2.2247 m	107	Games and Playable Media	96 m/(s^2)
4	2104 m/(s^2)	1.0209	Human Computer Interaction	Fremont	1200	-56	1242	1.1239 m	112	Computer Science	1159 m/(s^2)
1	2269 m/(s^2)	1.0775	Computer Game Design	Irvine	-517	607	2120	1.0835 m	178	Natural Language Processing	373 m/(s^2)
0	-1312 m/(s^2)	?	Applied Mathematics	Chula Vista	610	-248	-427	0.4052 m	776	Bioengineering	-156 m/(s^2)
5	587 m/(s^2)	0.1618	Statistics	Santa Ana	1023	891	-355	2.185 m	-214	Computational Media	2289 m/(s^2)
5	992 m/(s^2)	0.5768	COMPUTATIONAL MEDIA	SANTA ANA	627	171	-1138	0.3016 m	-287	Computational Media	496 m/(s^2)
5	161 m/(s^2)	0.962	Computational Media	Santa Ana	-361	1641	242	2.5129 m	-18	Computational Media	1187 m/(s^2)
5	1350 m/(s^2)	0.3944	Computer Game Design	Santa Ana	460	796	250	0.3138 m	638	Computational Media	3508 m/(s^2)
4	1802 m/(s^2)	0.1665	biotechnology	long beach	2363	1079	728	0.9604 m	1912	Computer Science	1293 m/(s^2)
5	-1386 m/(s^2)	-0.5057	Technology and Information Management	Santa Ana	1058	1433	-1208	1.3979 m	424	Human Computer Interaction	2533 m/(s^2)
5	1817 m/(s^2)	0.4177	Statistics	Santa Ana	-62	412	-1932	0.1079 m	510	Computational Media	-83 m/(s^2)
0	257 m/(s^2)	0.7409	Applied Mathematics	Chula Vista	2328	369	691	0.5212 m	1175	Bioengineering	103 m/(s^2)
2	891 m/(s^2)	0.8306	Computer Engineering	San Jose, Oakland	1270	-581	1441	-0.252 m	175	Electrical Engineering	662 m/(s^2)
4	1585 m/(s^2)	0.9904	Bioinformatics	Long Beach	-2294	13	-343	0.375 m	348	Computer Science	1951 m/(s^2)
